action,user,trial,calday
DELETE,9007366702,,2018-10-26 03:26:41.607
CREATE,ad49ae7b1d,False,2018-12-01 18:16:56.971
CREATE,2165677f19,False,2018-12-01 18:16:58.380
CREATE,13ded413c2,False,2018-12-01 18:16:58.444
CREATE,032adbb404,False,2018-12-01 18:16:59.568
CREATE,60bf8c9786,False,2018-12-01 18:17:00.077
CREATE,d1dcc1f192,False,2018-12-01 18:17:00.159
CREATE,c7ff01a6f1,False,2018-12-01 18:17:00.300
CREATE,16c6031bca,False,2018-12-01 18:17:00.360
CREATE,3df737e8e2,False,2018-12-01 18:17:00.621
CREATE,61290732d9,False,2018-12-01 18:17:02.504
CREATE,deb1007760,False,2018-12-01 18:17:02.520
CREATE,5c2af8e76e,False,2018-12-01 18:17:02.632
CREATE,4834b6b879,False,2018-12-01 18:17:03.093
CREATE,cee2eef0e6,False,2018-12-01 18:17:03.604
CREATE,3015fb8e2c,False,2018-12-01 18:17:03.667
CREATE,f9e6c52566,False,2018-12-01 18:17:03.885
CREATE,e8d60240fb,False,2018-12-01 18:17:04.218
CREATE,e4dad9c810,False,2018-12-01 18:17:04.264
CREATE,a55a0ccb9a,False,2018-12-01 18:17:04.736
CREATE,f78ba83143,False,2018-12-01 18:17:04.923
CREATE,d21cc895c5,False,2018-12-01 18:17:04.949
CREATE,0c84a8ddda,False,2018-12-01 18:17:05.160
CREATE,b333d987a0,False,2018-12-01 18:17:05.180
CREATE,af95c74932,False,2018-12-01 18:17:05.214
CREATE,217a5e9e16,False,2018-12-01 18:17:05.428
CREATE,b861986445,False,2018-12-01 18:17:06.118
CREATE,82e42d1335,False,2018-12-01 18:17:06.283
CREATE,a084bf4496,False,2018-12-01 18:17:06.421
CREATE,958c118772,False,2018-12-01 18:17:06.747
CREATE,209860205f,False,2018-12-01 18:17:06.940
CREATE,c8f81e7d2b,False,2018-12-01 18:17:07.141
CREATE,5dbaae97a9,False,2018-12-01 18:17:08.011
CREATE,46eb8554d5,False,2018-12-01 18:17:08.204
CREATE,ad264cca17,False,2018-12-01 18:17:08.458
CREATE,8ce7f36ca7,False,2018-12-01 18:17:08.658
CREATE,5eee48150c,False,2018-12-01 18:17:08.888
CREATE,a0fe4fb07c,False,2018-12-01 18:17:09.385
CREATE,64e1c63625,False,2018-12-01 18:17:09.435
CREATE,1d2e00ee99,False,2018-12-01 18:17:09.770
CREATE,5ebc38dd14,False,2018-12-01 18:17:09.827
CREATE,45910b8591,False,2018-12-01 18:17:09.882
CREATE,9b2522f307,False,2018-12-01 18:17:10.015
CREATE,116fc00193,False,2018-12-01 18:17:10.316
CREATE,5450cef1fe,False,2018-12-01 18:17:10.471
CREATE,5d1ef1dbd3,False,2018-12-01 18:17:10.845
CREATE,d28d8245e0,False,2018-12-01 18:17:10.977
CREATE,0fe577914b,False,2018-12-01 18:17:11.580
CREATE,e4e6a4cba0,False,2018-12-01 18:17:11.706
CREATE,2ff30055ad,False,2018-12-01 18:17:11.905
CREATE,49101f8e9e,False,2018-12-01 18:17:11.929
CREATE,ee34d1aa80,False,2018-12-01 18:17:12.066
CREATE,c09d711755,False,2018-12-01 18:17:12.489
CREATE,c013906b7f,False,2018-12-01 18:17:12.830
CREATE,9e0bd3a1d1,False,2018-12-01 18:17:12.961
CREATE,4db71bbcdd,False,2018-12-01 18:17:14.088
CREATE,ec14bd360a,False,2018-12-01 18:17:14.163
